Service Name , Category , Route Name , Cost Basis , Unit , Base Cost , Notes , Vehicle Type , Passenger Capacity
Sedan Alexandria Airport Pickup , transport ,Alexandria Airport Pickup, per_group ,transfer ,20 €, One-way airport pickup , Sedan , 1-2 pax
Sedan Alexandria Airport Dropoff , transport ,Alexandria Airport Dropoff, per_group ,transfer ,20 €, One-way airport dropoff , Sedan , 1-2 pax
Sedan Alexandria Airport Roundtrip , transport ,Alexandria Airport Roundtrip, per_group ,transfer ,20 €, Round-trip airport service , Sedan , 1-2 pax
Sedan Sidi Gaber Station Pickup , transport ,Sidi Gaber Station Pickup, per_group ,transfer ,17 €, One-way airport pickup , Sedan , 1-2 pax
Sedan Gaber Station Station Dropoff , transport ,Sidi Gaber Station Dropoff, per_group ,transfer ,17 €, One-way airport dropoff , Sedan , 1-2 pax
Sedan Alexandria Day Tour 4 Hours , transport ,Alexandria Day Tour 4 Hours, per_group ,tour,25 €, 4-hour city tour , Sedan , 1-2 pax
Sedan Alexandria Day Tour 8 Hours , transport ,Alexandria Day Tour 8 Hours, per_group ,tour,40 €, 8-hour city tour , Sedan , 1-2 pax
Sedan Alexandria Day Tour 12 Hours , transport ,Alexandria Day Tour 12 Hours, per_group ,tour,50 €, 12-hour city tour , Sedan , 1-2 pax
Sedan Alexandria Outside Dinner, transport ,Alexandria Dinner Transfer, per_group ,transfer ,25 €,2 hours, Sedan , 1-2 pax
Sedan Alexandria to Cairo transfer, transport ,Alexandria–Cairo Transfer, per_group ,transfer ,52 €,3-4 hours, Sedan , 1-2 pax
Sedan Alexandria to Cairo Roundtrip, transport ,Alexandria–Cairo Roundtrip, per_group ,tour,74 €,9-10 hours, Sedan , 1-2 pax
Sedan Alexandria to Cairo Overnight, transport ,Alexandria–Cairo Overnight, per_group ,tour,84 €,48 hours, Sedan , 1-2 pax
Sedan Alexandria to Marsa Matrouh transfer, transport ,Alexandria–Marsa Matrouh Transfer, per_group ,transfer ,78 €,3-4 hours, Sedan , 1-2 pax
Sedan Alexandria to Bahariya Oasis transfer, transport ,Alexandria–Bahariya Oasis Transfer, per_group ,transfer ,.,3-4 hours, Sedan , 1-2 pax
Sedan Alexandria to Bahariya Oasis  Roundtrip, transport ,Alexandria–Bahariya Oasis Roundtrip, per_group ,tour,2 €,9-10 hours, Sedan , 1-2 pax
Sedan Alexandria to Bahariya Oasis  Overnight, transport ,Alexandria–Bahariya Oasis Overnight, per_group ,tour,3 €,48 hours, Sedan , 1-2 pax
Sedan Alexandria to Siwa Oasis transfer, transport ,Alexandria–Siwa Oasis Transfer, per_group ,transfer ,115 €,3-4 hours, Hiace , 3-7 pax
Sedan Alexandria to Siwa Oasis  Roundtrip, transport ,Alexandria–Siwa Oasis Roundtrip, per_group ,tour,155 €,9-10 hours, Hiace , 3-7 pax
Sedan Alexandria to Siwa Oasis  Overnight, transport ,Alexandria–Siwa Oasis Overnight, per_group ,tour,205 €,48 hours, Hiace , 3-7 pax
Hiace Alexandria Airport Pickup , transport ,Alexandria Airport Pickup, per_group ,transfer ,0 €, One-way airport pickup , Hiace , 3-7 pax
Hiace Alexandria Airport Dropoff , transport ,Alexandria Airport Dropoff, per_group ,transfer ,33 €, One-way airport dropoff , Hiace , 3-7 pax
Hiace Alexandria Airport Roundtrip , transport ,Alexandria Airport Roundtrip, per_group ,transfer ,33 €, Round-trip airport service , Hiace , 3-7 pax
Hiace  Sidi Gaber Station Pickup , transport ,Sidi Gaber Station Pickup, per_group ,transfer ,35 €, One-way airport pickup , Hiace , 3-7 pax
Hiace Sidi Gaber Station Dropoff , transport ,Sidi Gaber Station Dropoff, per_group ,transfer ,35 €, One-way airport dropoff , Hiace , 3-7 pax
Hiace Alexandria Day Tour 4 Hours , transport ,Alexandria Day Tour 4 Hours, per_group ,tour,33 €, 4-hour city tour , Hiace , 3-7 pax
Hiace Alexandria Day Tour 8 Hours , transport ,Alexandria Day Tour 8 Hours, per_group ,tour,69 €, 8-hour city tour , Hiace , 3-7 pax
Hiace Alexandria Day Tour 12 Hours , transport ,Alexandria Day Tour 12 Hours, per_group ,tour,90 €, 12-hour city tour , Hiace , 3-7 pax
Hiace Alexandria Outside Dinner, transport ,Alexandria Dinner Transfer, per_group ,transfer ,33 €,2 hours, Hiace , 3-7 pax
Hiace Alexandria to Cairo transfer, transport ,Alexandria–Cairo Transfer, per_group ,transfer ,53 €,3-4 hours, Hiace , 3-7 pax
Hiace Alexandria to Cairo Roundtrip, transport ,Alexandria–Cairo Roundtrip, per_group ,tour,90 €,9-10 hours, Hiace , 3-7 pax
Hiace Alexandria to Cairo Overnight, transport ,Alexandria–Cairo Overnight, per_group ,tour,105 €,48 hours, Hiace , 3-7 pax
Hiace Alexandria to Marsa Matrouh transfer, transport ,Alexandria–Marsa Matrouh Transfer, per_group ,transfer ,96 €,3-4 hours, Sedan , 1-2 pax
Hiace Alexandria to Bahariya Oasis transfer, transport ,Alexandria–Bahariya Oasis Transfer, per_group ,transfer ,1 €,3-4 hours, Hiace , 3-7 pax
Hiace Alexandria to Bahariya Oasis  Roundtrip, transport ,Alexandria–Bahariya Oasis Roundtrip, per_group ,tour,2 €,9-10 hours, Hiace , 3-7 pax
Hiace Alexandria to Bahariya Oasis  Overnight, transport ,Alexandria–Bahariya Oasis Overnight, per_group ,tour,3 €,48 hours, Hiace , 3-7 pax
Hiace Alexandria to Siwa Oasis transfer, transport ,Alexandria–Siwa Oasis Transfer, per_group ,transfer ,160 €,3-4 hours, Hiace , 3-7 pax
Hiace Alexandria to Siwa Oasis  Roundtrip, transport ,Alexandria–Siwa Oasis Roundtrip, per_group ,tour,205 €,9-10 hours, Hiace , 3-7 pax
Hiace Alexandria to Siwa Oasis  Overnight, transport ,Alexandria–Siwa Oasis Overnight, per_group ,tour,255 €,48 hours, Hiace , 3-7 pax
Coaster Alexandria Airport Pickup , transport ,Alexandria Airport Pickup, per_group ,transfer ,54 €, One-way airport pickup , Coaster , 3-7 pax
Coaster Alexandria Airport Dropoff , transport ,Alexandria Airport Dropoff, per_group ,transfer ,54 €, One-way airport dropoff , Coaster , 3-7 pax
Coaster Alexandria Airport Roundtrip , transport ,Alexandria Airport Roundtrip, per_group ,transfer ,54 €, Round-trip airport service , Coaster , 3-7 pax
Coaster Sidi Gaber Station Pickup , transport ,Sidi Gaber Station Pickup, per_group ,transfer ,54 €, One-way airport pickup , Coaster , 3-7 pax
Coaster Sidi Gaber Station Dropoff , transport ,Sidi Gaber Station Dropoff, per_group ,transfer ,54 €, One-way airport dropoff , Coaster , 3-7 pax
Coaster Alexandria Day Tour 4 Hours , transport ,Alexandria Day Tour 4 Hours, per_group ,tour,96 €, 4-hour city tour , Coaster , 3-7 pax
Coaster Alexandria Day Tour 8 Hours , transport ,Alexandria Day Tour 8 Hours, per_group ,tour,145 €, 8-hour city tour , Coaster , 3-7 pax
Coaster Alexandria Day Tour 12 Hours , transport ,Alexandria Day Tour 12 Hours, per_group ,tour,178 €, 12-hour city tour , Coaster , 3-7 pax
Coaster Alexandria Outside Dinner, transport ,Alexandria Dinner Transfer, per_group ,transfer ,96 €,2 hours, Coaster , 3-7 pax
Coaster Alexandria to Cairo transfer, transport ,Alexandria–Cairo Transfer, per_group ,transfer ,161 €,3-4 hours, Coaster , 3-7 pax
Coaster Alexandria to Cairo Roundtrip, transport ,Alexandria–Cairo Roundtrip, per_group ,tour,189 €,9-10 hours, Coaster , 3-7 pax
Coaster Alexandria to Cairo Overnight, transport ,Alexandria–Cairo Overnight, per_group ,tour,199 €,48 hours, Coaster , 3-7 pax
Coaster Alexandria to Marsa Matrouh transfer, transport ,Alexandria–Marsa Matrouh Transfer, per_group ,transfer ,188 €,3-4 hours, Coaster , 3-7 pax
Coaster Alexandria to Bahariya Oasis transfer, transport ,Alexandria–Bahariya Oasis Transfer, per_group ,transfer ,1 €,3-4 hours, Coaster , 3-7 pax
Coaster Alexandria to Bahariya Oasis  Roundtrip, transport ,Alexandria–Bahariya Oasis Roundtrip, per_group ,tour,2 €,9-10 hours, Coaster , 3-7 pax
Coaster Alexandria to Bahariya Oasis  Overnight, transport ,Alexandria–Bahariya Oasis Overnight, per_group ,tour,3 €,48 hours, Coaster , 3-7 pax
Coaster Alexandria to Siwa Oasis transfer, transport ,Alexandria–Siwa Oasis Transfer, per_group ,transfer ,3 €,3-4 hours, Coaster , 3-7 pax
Coaster Alexandria to Siwa Oasis  Roundtrip, transport ,Alexandria–Siwa Oasis Roundtrip, per_group ,tour,2 €,9-10 hours, Coaster , 3-7 pax
Coaster Alexandria to Siwa Oasis  Overnight, transport ,Alexandria–Siwa Oasis Overnight, per_group ,tour,3 €,48 hours, Coaster , 3-7 pax
Coach Alexandria Airport Pickup , transport ,Alexandria Airport Pickup, per_group ,transfer ,54 €, One-way airport pickup , Coach , 3-7 pax
Coach Alexandria Airport Dropoff , transport ,Alexandria Airport Dropoff, per_group ,transfer ,54 €, One-way airport dropoff , Coach , 3-7 pax
Coach Alexandria Airport Roundtrip , transport ,Alexandria Airport Roundtrip, per_group ,transfer ,54 €, Round-trip airport service , Coach , 3-7 pax
Coach  Sidi Gaber Station Pickup , transport ,Sidi Gaber Station Pickup, per_group ,transfer ,54 €, One-way airport pickup , Coach , 3-7 pax
Coach Giza Sidi Gaber Dropoff , transport ,Sidi Gaber Station Dropoff, per_group ,transfer ,54 €, One-way airport dropoff , Coach , 3-7 pax
Coach Alexandria Day Tour 4 Hours , transport ,Alexandria Day Tour 4 Hours, per_group ,tour,96 €, 4-hour city tour , Coach , 3-7 pax
Coach Alexandria Day Tour 8 Hours , transport ,Alexandria Day Tour 8 Hours, per_group ,tour,145 €, 8-hour city tour , Coach , 3-7 pax
Coach Alexandria Day Tour 12 Hours , transport ,Alexandria Day Tour 12 Hours, per_group ,tour,178 €, 12-hour city tour , Coach , 3-7 pax
Coach Alexandria Outside Dinner, transport ,Alexandria Dinner Transfer, per_group ,transfer ,54 €,2 hours, Coach , 3-7 pax
Coach Alexandria to Cairo transfer, transport ,Alexandria–Cairo Transfer, per_group ,transfer ,158 €,3-4 hours, Coach , 3-7 pax
Coach Alexandria to Cairo Roundtrip, transport ,Alexandria–Cairo Roundtrip, per_group ,tour,182 €,9-10 hours, Coach , 3-7 pax
Coach Alexandria to Cairo Overnight, transport ,Alexandria–Cairo Overnight, per_group ,tour,192 €,48 hours, Coach , 3-7 pax
Coach Alexandria to Marsa Matrouh transfer, transport ,Alexandria–Marsa Matrouh Transfer, per_group ,transfer ,243 €,3-4 hours, Coach , 3-7 pax
Coach Alexandria to Bahariya Oasis transfer, transport ,Alexandria–Bahariya Oasis Transfer, per_group ,transfer ,1 €,3-4 hours, Coach , 3-7 pax
Coach Alexandria to Bahariya Oasis  Roundtrip, transport ,Alexandria–Bahariya Oasis Roundtrip, per_group ,tour,2 €,9-10 hours, Coach , 3-7 pax
